reviewerID,asin,reviewText,overall,reviewTime
A1R3P8MRFSN4X3,6301955250,,4,"08 9, 1997"
AVM91SKZ9M58T,B000002KXA,,5,"08 10, 1997"
A1HC72VDRLANIW,6303935419,,1,"08 19, 1997"
A2XBTS97FERY2Q,6302049040,,5,"08 23, 1997"
A1QEOOUQ8M0E1K,672307952,,2,"08 25, 1997"
ALEBTW1HIOIEU,B000002OKC,,5,"08 26, 1997"
A1WE9G1S8VY01K,758211694,,5,"09 2, 1997"
A3MIU1UTFCY3BK,6304174616,,5,"09 3, 1997"
A8OUAXOC46SHP,802132758,,5,"09 3, 1997"
A11M80USOXYAG1,B000000LWZ,,5,"09 8, 1997"
A3D50ZQNN9BEZF,630265288X,,5,"09 12, 1997"
A187I4PIEUMOLT,B000002H3Z,,5,"09 13, 1997"
A2QDKEH23ZSD5N,6304071841,,5,"09 14, 1997"
A3RJTOGIIWI5JH,B000005KU6,,5,"09 19, 1997"
A19OSOMXVZY5PI,630197834X,,5,"09 20, 1997"
A27YXL9013SOF4,B00000053E,,5,"09 21, 1997"
A36C8J8WLV4FXW,790732475,,1,"09 22, 1997"
AW09UQQ3V59J6,471178411,,2,"09 22, 1997"
A14V63ENLFXZP8,891075275,,5,"09 23, 1997"
A32P3KTF6KVGCC,6300216268,,5,"09 23, 1997"
A1C8AI4MAQJ4TQ,930192125,,5,"09 29, 1997"
A9I29MUMMEQQE,6300181987,,5,"10 3, 1997"
A1B15BET5TSYDG,B000003YSX,,5,"10 5, 1997"
A3EM2O9CS5JOED,879977639,,5,"10 7, 1997"
A1BE5PEF37NVOM,1569494088,,5,"10 9, 1997"
A2JVVS49Y183CZ,6300271765,,5,"10 13, 1997"
A3FHJW22ZGPCLG,6300248550,,5,"10 17, 1997"
A1IV4NDRKLKXJP,783221487,,2,"10 17, 1997"
A3U9V6GDRYV52T,630237250X,,5,"10 18, 1997"
A2SY49Z6H96QVR,B000002H2H,,5,"10 20, 1997"
A24TU239YK6UIT,B000002AS3,,5,"10 21, 1997"
A2RS3MLX58YTMU,1573624578,,5,"10 22, 1997"
A2UVHRFEICZ4TU,B0000020C4,,5,"10 23, 1997"
A12LHIUPPAJ803,790729628,,4,"10 23, 1997"
A2M4PFHOZXT1EJ,804110972,,5,"10 25, 1997"
AGW0OPKZBKZWY,B00000264Y,,5,"10 25, 1997"
A1W3KLP4PJR8EX,6303908306,,5,"10 26, 1997"
A3UD019BU04XDH,B000002HHB,,5,"10 29, 1997"
A7CSSD9KMZOFN,672307952,,2,"11 3, 1997"
A1Q8XKXGXMOD0E,6304071841,,4,"11 7, 1997"
A2Z7SPGG3Q70V5,B000005EAP,,5,"11 8, 1997"
AR9HFLYSXUOYS,B00000JL6V,,5,"11 8, 1997"
A1SH28X6HM8BXB,792844882,,4,"11 11, 1997"
A1UN0CA5X8NNB3,B000002B6Z,,5,"11 12, 1997"
A3BWRP5I89SB4C,6300250091,,5,"11 12, 1997"
A1HF1NOS5QA1QM,630026906X,,5,"11 12, 1997"
A3Q12H8IDTN09K,6304681526,,5,"11 13, 1997"
A1SV9NC1XW9VB7,471178411,,4,"11 13, 1997"
A1127LKNR08JJK,630174411X,,4,"11 13, 1997"
A1127LKNR08JJK,B00000150Q,,5,"11 14, 1997"
A1UEST9HYD2IHS,780619439,,5,"11 14, 1997"
A1127LKNR08JJK,767824571,,5,"11 14, 1997"
A1L9I6A4RN1BD0,091329926X,,5,"11 14, 1997"
A1127LKNR08JJK,783222068,,5,"11 14, 1997"
APNGPFFKPHUY8,1895404770,,5,"11 15, 1997"
A3NEE7C3ITVWLA,6302656125,,5,"11 15, 1997"
A1FP6920OKKJOB,B000002VDL,,5,"11 15, 1997"
A3GYW0N4OU50WX,B000002GP1,,5,"11 17, 1997"
AUBK9TF5XBSNC,B0000004QU,,5,"11 17, 1997"
A2LKGTJB9OG6YE,B000005ALT,,5,"11 18, 1997"
A1127LKNR08JJK,780022181,,5,"11 19, 1997"
AJQA56QX9A4IQ,630349255X,,5,"11 19, 1997"
A1127LKNR08JJK,6300248526,,5,"11 19, 1997"
A1127LKNR08JJK,6303094880,,5,"11 19, 1997"
A1127LKNR08JJK,6302952727,,5,"11 19, 1997"
A18HZ0NGKRI3LC,6301977483,,3,"11 20, 1997"
A1653LRZ0X6AZI,B000000WF7,,5,"11 22, 1997"
A1653LRZ0X6AZI,6304702205,,5,"11 22, 1997"
A33HXZ7DR6I7EW,6303816363,,4,"11 22, 1997"
APYPSJSXJM50B,783228015,,5,"11 22, 1997"
A1DT615R9A7YG3,B000001EYE,,5,"11 23, 1997"
A2KW4UNS2UBI17,B000002H33,,5,"11 27, 1997"
A2KW4UNS2UBI17,B000000H5W,,5,"11 27, 1997"
A2V0D5CW075HLF,6304683235,,5,"11 27, 1997"
A1B8BTTOQY2K4B,630398021X,,4,"11 28, 1997"
A26Y5BK10TL1OI,B00000JL6V,,5,"11 29, 1997"
A2XT7XLQ8DD4NZ,B0000027G3,,5,"11 29, 1997"
A1XTCPZ61NNYP6,6304301235,,5,"11 29, 1997"
A3OWBZJ8NHBJD3,6304509103,,5,"11 30, 1997"
A28BJ12568I17K,6304123523,,5,"12 2, 1997"
A3TRNVI9INRVOA,767827651,,5,"12 3, 1997"
A2SSA2CRIBU4R1,967418518,,5,"12 3, 1997"
A1B5FEBZRKII7R,B000001F1P,,5,"12 4, 1997"
ATMKY9ODX2SD3,6300216055,,5,"12 4, 1997"
A302PEM9BIIZ9C,B000000NMG,,5,"12 6, 1997"
AVH1ID9OIORZA,B000005DX0,,5,"12 7, 1997"
A355Z3YNUZTUAY,B0000005BA,,5,"12 8, 1997"
A1P3XUQ4L4TDCT,B0000009QI,,5,"12 8, 1997"
A2LTI5OJE76KD,6304030657,,5,"12 12, 1997"
A2LYQ4233PEZ5E,B000001F1P,,4,"12 12, 1997"
A1127LKNR08JJK,B000002OK3,,5,"12 12, 1997"
A3VMPX6KW6VSQY,B00000JL6V,,5,"12 12, 1997"
ATXFNVH33MEG4,B000003BRT,,4,"12 13, 1997"
A9RV8XHR3VG3B,630197588X,,5,"12 14, 1997"
A3N83WBSOG9PE4,B00000JL6V,,1,"12 14, 1997"
A12YGS1VEV0WXS,1572526300,,4,"12 15, 1997"
A1PS66N855AO4D,6303047564,,5,"12 15, 1997"
A2Q6FRINMH0R81,B00000JL6V,,4,"12 16, 1997"
A1PS66N855AO4D,784001294,,1,"12 16, 1997"
ABSN7210FTTOJ,6303238734,,5,"12 17, 1997"
A214CH9J48HOSY,B000000CBL,,5,"12 17, 1997"
A214CH9J48HOSY,B000002J85,,5,"12 17, 1997"
A36IQ2KWMPOC5H,B000002NZ1,,4,"12 18, 1997"
A12TMPWWVE0HRX,6303144667,,5,"12 18, 1997"
A2HBNA95CMXNW3,B0000009QH,,5,"12 18, 1997"
A28F45SUP8NTW,B000002G8D,,3,"12 19, 1997"
ABSN7210FTTOJ,780022084,,5,"12 19, 1997"
ABSN7210FTTOJ,6303451489,,3,"12 19, 1997"
A1127LKNR08JJK,079283318X,,5,"12 19, 1997"
A3TRNVI9INRVOA,783225849,,5,"12 23, 1997"
A2UGPIQW4XSIY4,6300251004,,5,"12 24, 1997"
A24U3I3PVGQ4HJ,B000003C47,,5,"12 24, 1997"
A31RXNZ0HALVLP,B000005AM1,,4,"12 27, 1997"
A3LJOV5SBGQUOC,B000002O57,,5,"12 28, 1997"
A1OQ2X8L7CPHWE,B0000029YC,,5,"12 29, 1997"
A2B80HUGHU0PX5,B000002W4I,,5,"12 29, 1997"
A1JS6LSFG8GFI3,B000003JM6,,5,"12 29, 1997"
A3FOOHNQDDG9A0,6303072070,,5,"12 30, 1997"
A2JPGNKUBZB29V,B0000014WR,,2,"12 31, 1997"
A2ZA7TRAB16EUY,B000002WOF,,5,"12 31, 1997"
A2Z7SPGG3Q70V5,B000002ZWD,,5,"12 31, 1997"
A2ZA7TRAB16EUY,6302579473,,5,"12 31, 1997"
A2ZA7TRAB16EUY,6302643627,,5,"12 31, 1997"
A28IUT4AJ7XRLV,6303118240,,5,"01 2, 1998"
A3L4L3F8ML5OYW,B000002U2Q,,5,"01 2, 1998"
A1UIN9IFQYLW7B,156219724X,,5,"01 2, 1998"
A3TQZ521KSRUZ1,6302098475,,4,"01 3, 1998"
A1F1LE7QYOAJ5C,B000002BHJ,,5,"01 3, 1998"
A30Q8X8B1S3GGT,6300215695,,4,"01 3, 1998"
A2E9WIRZ65JQTS,6304203985,,5,"01 3, 1998"
A2AOW981QAD8Y4,B000002HPV,,5,"01 3, 1998"
A274ZIBJVT4XRW,6304405308,,5,"01 5, 1998"
A3SD7A4KK81D7K,B0000057NY,,5,"01 6, 1998"
A2EMI8XWGIIW2Z,6302404223,,5,"01 6, 1998"
A3NJZ1SPYLNS1K,B000002UJQ,,5,"01 8, 1998"
A1L4Y3K0ANQGTQ,6303481272,,5,"01 9, 1998"
A1127LKNR08JJK,B000002VSV,,5,"01 9, 1998"
A29J4PGZI9Q0IB,B000001FEA,,5,"01 10, 1998"
A29J4PGZI9Q0IB,B000001E5V,,5,"01 10, 1998"
A2GN0K3EGA4SNZ,B000002AGB,,5,"01 10, 1998"
AC3SWL91QUYLG,B000002C25,,5,"01 10, 1998"
A60CFM31P4F2N,790729687,,5,"01 10, 1998"
AC3SWL91QUYLG,6304267363,,5,"01 10, 1998"
AC3SWL91QUYLG,B000002AS3,,5,"01 11, 1998"
